Date,WL
2022-12-16,12.04193182
2022-12-17,11.60022727
2022-12-18,11.02034091
2022-12-19,10.62261364
2022-12-20,10.30897727
2022-12-21,9.825454545
2022-12-22,9.960340909
2022-12-23,10.15113636
2022-12-24,10.38284091
2022-12-25,10.36522727
2022-12-26,10.55727273
2022-12-27,11.05034091
2022-12-28,11.38340909
2022-12-29,11.69738636
2022-12-30,12.04806818
2022-12-31,12.59647727
2023-01-01,13.50829545
2023-01-02,14.44056818
2023-01-03,15.36477273
2023-01-04,16.03556818
2023-01-05,16.72772727
2023-01-06,16.93977273
2023-01-07,16.70420455
2023-01-08,16.18329545
2023-01-09,15.52511364
2023-01-10,15.08693182
2023-01-11,14.85477273
2023-01-12,14.38931818
2023-01-13,14.17647727
2023-01-14,14.56943182
2023-01-15,14.78681818
2023-01-16,15.03011364
2023-01-17,15.47193182
2023-01-18,16.09340909
2023-01-19,16.99943182
2023-01-20,17.62602273
2023-01-21,17.93636364
2023-01-22,18.39636364
2023-01-23,18.8575
2023-01-24,19.46715909
2023-01-25,19.68818182
2023-01-26,19.89772727
2023-01-27,19.93647727
2023-01-28,19.99659091
2023-01-29,20.24329545
2023-01-30,19.96568182
2023-01-31,19.89113636
2023-02-01,19.62238636
2023-02-02,19.71227273
2023-02-03,19.95068182
2023-02-04,20.36693182
2023-02-05,20.52863636
2023-02-06,20.88818182
2023-02-07,20.92011364
2023-02-08,20.6175
2023-02-09,20.36159091
2023-02-10,20.24795455
2023-02-11,20.12238636
2023-02-12,20.1
2023-02-13,20.09477273
2023-02-14,20.28045455
2023-02-15,20.45772727
2023-02-16,20.65613636
2023-02-17,21.04363636
2023-02-18,21.18363636
2023-02-19,21.33522727
2023-02-20,21.61170455
2023-02-21,21.58204545
2023-02-22,21.55931818
2023-02-23,21.61647727
2023-02-24,21.71056818
2023-02-25,21.81681818
2023-02-26,22.12090909
2023-02-27,22.46943182
2023-02-28,22.82829545
2023-03-01,23.20829545
2023-03-02,23.58568182
2023-03-03,24.13681818
2023-03-04,24.59590909
2023-03-05,24.85443182
2023-03-06,25.29931818
2023-03-07,25.9425
2023-03-08,26.17920455
2023-03-09,26.22431818
2023-03-10,26.16431818
2023-03-11,26.00693182
2023-03-12,25.64829545
2023-03-13,25.21454545
2023-03-14,24.73488636
2023-03-15,23.97625
2023-03-16,23.27215909
2023-03-17,22.62738636
2023-03-18,22.23647727
2023-03-19,22.09386364
2023-03-20,21.98204545
2023-03-21,22.09477273
2023-03-22,22.04340909
2023-03-23,22.17272727
2023-03-24,22.36909091
2023-03-25,22.58318182
2023-03-26,22.70715909
2023-03-27,22.97386364
2023-03-28,23.38806818
2023-03-29,23.56136364
2023-03-30,23.70647727
2023-03-31,23.87125
2023-04-01,23.93193182
2023-04-02,24.17590909
2023-04-03,23.87034091
2023-04-04,23.64806818
2023-04-05,23.66988636
2023-04-06,23.36340909
2023-04-07,23.15193182
2023-04-08,22.75318182
2023-04-09,22.37443182
2023-04-10,21.95238636
2023-04-11,22.05136364
2023-04-12,22.14886364
2023-04-13,22.19170455
2023-04-14,20.03318182
2023-04-15,19.40465909
2023-04-16,18.84284091
2023-04-17,18.30329545
2023-04-18,17.90897727
2023-04-19,17.49022727
2023-04-20,17.06704545
2023-04-21,16.56681818
2023-04-22,16.16011364
2023-04-23,15.79534091
2023-04-24,15.23795455
2023-04-25,14.86
2023-04-26,14.55420455
2023-04-27,14.16079545
2023-04-28,13.88568182
2023-04-29,13.77693182
2023-04-30,13.78602273
2023-05-01,13.82443182
2023-05-02,13.93022727
2023-05-03,14.20511364
2023-05-04,14.54477273
2023-05-05,14.95602273
2023-05-06,15.38215909
2023-05-07,15.65488636
2023-05-08,15.75715909
2023-05-09,15.44113636
2023-05-10,15.45693182
2023-05-11,15.46340909
2023-05-12,15.50431818
2023-05-13,15.46181818
2023-05-14,15.53295455
2023-05-15,15.43852273
2023-05-16,15.12772727
2023-05-17,14.78795455
2023-05-18,14.26295455
2023-05-19,13.735
2023-05-20,13.04738636
2023-05-21,12.32977273
2023-05-22,11.58136364
2023-05-23,10.71659091
2023-05-24,9.773295455
2023-05-25,8.949659091
2023-05-26,8.410909091
2023-05-27,7.951590909
2023-05-28,7.707159091
2023-05-29,7.439659091
2023-05-30,7.161363636
2023-05-31,6.836363636
2023-06-01,6.605113636
2023-06-02,6.331590909
2023-06-03,6.166931818
2023-06-04,5.9275
2023-06-05,5.817272727
2023-06-06,5.648409091
2023-06-07,5.460340909
2023-06-08,5.536136364
2023-06-09,5.419204545
2023-06-10,5.534659091
2023-06-11,5.432954545
